Cust_ID,FName,LName,UserEmail,JoinDate,AmountSpent
1219,Heidi,Green,customer0@test.com,2023-01-01,1162.94
1902,Frank,White,customer1@test.com,2023-01-02,222.39
1162,Eve,Green,customer2@test.com,2023-01-03,640.27
1950,Frank,Gray,customer3@test.com,2023-01-04,695.8
1219,Grace,Black,customer4@test.com,2023-01-05,1412.63
1269,Grace,White,customer5@test.com,2023-01-06,813.0
1631,Frank,Green,customer6@test.com,2023-01-07,311.92
1905,Frank,Green,customer7@test.com,2023-01-08,510.8
1847,Frank,Gray,customer8@test.com,2023-01-09,450.35
1399,Heidi,White,customer9@test.com,2023-01-10,2919.5
1181,Frank,Black,customer10@test.com,2023-01-11,2280.28
1990,Eve,Green,customer11@test.com,2023-01-12,2903.61
1617,Heidi,White,customer12@test.com,2023-01-13,1324.82
1728,Heidi,Black,customer13@test.com,2023-01-14,842.32
1204,Frank,Green,customer14@test.com,2023-01-15,2396.9
1581,Eve,Green,customer15@test.com,2023-01-16,985.5
1555,Heidi,Black,customer16@test.com,2023-01-17,905.16
1840,Grace,Black,customer17@test.com,2023-01-18,705.19
1812,Heidi,Gray,customer18@test.com,2023-01-19,397.74
1227,Frank,White,customer19@test.com,2023-01-20,776.82
1695,Eve,White,customer20@test.com,2023-01-21,1072.41
1618,Frank,Gray,customer21@test.com,2023-01-22,2025.24
1595,Grace,Green,customer22@test.com,2023-01-23,197.07
1849,Grace,Black,customer23@test.com,2023-01-24,639.42
1249,Grace,Black,customer24@test.com,2023-01-25,2428.98
1874,Frank,Black,customer25@test.com,2023-01-26,449.3
1440,Heidi,Green,customer26@test.com,2023-01-27,1034.51
1532,Frank,Black,customer27@test.com,2023-01-28,2595.33
1195,Eve,Black,customer28@test.com,2023-01-29,473.23
1689,Heidi,Gray,customer29@test.com,2023-01-30,257.38
1928,Grace,Green,customer30@test.com,2023-01-31,1458.77
1986,Frank,White,customer31@test.com,2023-02-01,914.23
1518,Grace,Gray,customer32@test.com,2023-02-02,1694.59
1069,Grace,Gray,customer33@test.com,2023-02-03,2413.38
1638,Eve,White,customer34@test.com,2023-02-04,420.07
1398,Heidi,Gray,customer35@test.com,2023-02-05,1746.29
1977,Eve,Green,customer36@test.com,2023-02-06,1521.47
1671,Eve,Black,customer37@test.com,2023-02-07,440.8
1759,Eve,Green,customer38@test.com,2023-02-08,1875.76
1202,Grace,White,customer39@test.com,2023-02-09,828.18
1147,Eve,White,customer40@test.com,2023-02-10,1468.62
1471,Eve,Gray,customer41@test.com,2023-02-11,255.99
1654,Heidi,Green,customer42@test.com,2023-02-12,1384.16
1943,Heidi,Green,customer43@test.com,2023-02-13,926.33
1198,Eve,White,customer44@test.com,2023-02-14,2468.92
1916,Heidi,Green,customer45@test.com,2023-02-15,180.37
1425,Heidi,White,customer46@test.com,2023-02-16,1261.64
1665,Eve,Green,customer47@test.com,2023-02-17,1380.71
1491,Grace,Green,customer48@test.com,2023-02-18,2177.77
1887,Eve,Green,customer49@test.com,2023-02-19,1727.12
1895,Heidi,White,customer50@test.com,2023-02-20,2004.96
1141,Grace,Gray,customer51@test.com,2023-02-21,2333.38
1312,Frank,Green,customer52@test.com,2023-02-22,2587.99
1164,Grace,White,customer53@test.com,2023-02-23,948.49
1313,Heidi,White,customer54@test.com,2023-02-24,1618.69
1020,Grace,Green,customer55@test.com,2023-02-25,2521.92
1081,Eve,Green,customer56@test.com,2023-02-26,2968.46
1580,Frank,Gray,customer57@test.com,2023-02-27,2669.66
1130,Frank,White,customer58@test.com,2023-02-28,1120.69
1598,Frank,White,customer59@test.com,2023-03-01,593.55
1729,Heidi,Black,customer60@test.com,2023-03-02,1473.28
1932,Heidi,White,customer61@test.com,2023-03-03,2227.51
1983,Frank,Gray,customer62@test.com,2023-03-04,1482.78
1304,Grace,Black,customer63@test.com,2023-03-05,1454.71
1914,Frank,Black,customer64@test.com,2023-03-06,2516.31
1370,Grace,Black,customer65@test.com,2023-03-07,1090.6
1856,Grace,Green,customer66@test.com,2023-03-08,2580.79
1852,Heidi,Green,customer67@test.com,2023-03-09,1226.35
1383,Grace,White,customer68@test.com,2023-03-10,991.42
